rows,depth,unaffected,metric,exec,p50_us,p95_us,p99_us,mean_us,n
100000,1,0,marimo_rerun,2,87.709,108.782,115.127,90.095,40
100000,1,4,marimo_rerun,2,77.73,90.692,95.669,76.931,40
100000,1,16,marimo_rerun,2,80.625,95.844,112.157,83.191,40
100000,1,64,marimo_rerun,2,84.959,100.223,102.719,87.12,40
100000,1,128,marimo_rerun,2,86.834,101.29,129.677,89.627,40
100000,1,256,marimo_rerun,2,91.084,123.782,153.739,96.503,40
100000,3,0,marimo_rerun,4,123.105,144.096,169.271,124.066,40
100000,3,4,marimo_rerun,4,125.771,151.056,154.286,126.787,40
100000,3,16,marimo_rerun,4,125.355,141.704,147.075,126.176,40
100000,3,64,marimo_rerun,4,129.354,148.558,160.695,129.119,40
100000,3,128,marimo_rerun,4,131.396,148.783,151.098,131.621,40
100000,3,256,marimo_rerun,4,131.416,155.611,159.276,134.771,40
100000,10,0,marimo_rerun,11,271.062,305.571,319.887,268.864,40
100000,10,4,marimo_rerun,11,268.417,313.641,334.781,269.912,40
100000,10,16,marimo_rerun,11,273.083,307.154,332.653,268.446,40
100000,10,64,marimo_rerun,11,277.042,331.281,353.171,276.398,40
100000,10,128,marimo_rerun,11,280.708,306.936,328.051,277.099,40
100000,10,256,marimo_rerun,11,281.792,324.59,348.703,279.465,40
