rows,depth,unaffected,metric,p50_us,p95_us,p99_us,mean_us,n
100000,1,0,streamlit_rerun,1499.333,1671.807,2378.339,1550.733,40
100000,1,4,streamlit_rerun,1517.458,1720.975,2389.367,1565.301,40
100000,1,16,streamlit_rerun,1715.25,2087.704,2842.263,1794.409,40
100000,1,64,streamlit_rerun,2567.208,2795.939,2829.369,2586.369,40
100000,1,128,streamlit_rerun,3706.854,4129.149,4200.874,3758.164,40
100000,1,256,streamlit_rerun,5959.042,6387.642,6599.427,6016.126,40
100000,3,0,streamlit_rerun,1522.854,2782.846,2844.157,1668.589,40
100000,3,4,streamlit_rerun,1619.896,2805.323,2811.581,1790.107,40
100000,3,16,streamlit_rerun,1782.396,2748.644,2774.518,1863.742,40
100000,3,64,streamlit_rerun,2552.792,2697.284,2813.232,2566.065,40
100000,3,128,streamlit_rerun,3666.917,3894.842,3965.007,3690.697,40
100000,3,256,streamlit_rerun,5961.812,6438.306,6471.663,5991.05,40
100000,10,0,streamlit_rerun,1663.25,2851.595,2900.43,2117.733,40
100000,10,4,streamlit_rerun,2742.458,2806.456,2821.476,2303.262,40
100000,10,16,streamlit_rerun,2780.521,2866.874,11749.423,2853.739,40
100000,10,64,streamlit_rerun,2747.979,3130.154,3354.622,2787.14,40
100000,10,128,streamlit_rerun,3904.292,4281.184,4358.653,3946.171,40
100000,10,256,streamlit_rerun,6295.208,7093.65,7244.153,6421.806,40
