phase,instances,concurrency,p50_us,p95_us,p99_us,mean_us,throughput_rps,n
concurrency,1,1,649.792,767.417,901.978,663.644,1505.7,4517
concurrency,1,2,696.396,878.317,1055.694,724.757,2756.0,8268
concurrency,1,4,991.396,1147.513,1274.58,1007.61,3966.0,11898
concurrency,1,8,1961.167,2200.501,2377.704,1967.277,4066.3,12199
concurrency,1,16,4003.791,4417.617,5280.422,4047.599,3957.7,11873
concurrency,1,32,7981.125,8627.142,8934.551,8014.027,4004.0,12012
concurrency,1,64,16441.0,18174.006,21182.939,16649.807,3866.0,11598
scaling,1,32,7992.479,8554.902,9000.253,8024.96,4000.0,12000
scaling,2,32,5158.125,5636.829,5963.548,5177.64,6189.0,18567
scaling,4,32,4279.25,5491.412,6215.94,4331.257,7393.0,22179
