rows,metric,p50_us,p95_us,p99_us,heavy_runs,speedup_vs_recompute
100000,golit_memo,849.5,1023.0,1176.5,0,1.97
100000,dash_recompute,1670.6,1957.1,2032.3,100,1.0
100000,dash_store_deserialize,7821.2,8162.8,8211.2,0,9.21
500000,golit_memo,952.3,1147.4,1588.0,0,4.56
500000,dash_recompute,4337.9,4639.6,4776.2,100,1.0
500000,dash_store_deserialize,37680.9,39419.5,40238.5,0,39.57
1000000,golit_memo,1074.0,1269.9,1305.9,0,6.88
1000000,dash_recompute,7391.0,7774.2,7839.2,100,1.0
1000000,dash_store_deserialize,78021.9,82959.4,83559.7,0,72.65
2000000,golit_memo,1312.9,1700.7,1857.5,0,11.04
2000000,dash_recompute,14498.0,15154.6,15463.0,100,1.0
2000000,dash_store_deserialize,158784.4,163430.7,165937.3,0,120.94
